"BSC/RNC/LTE","Cell"
"LTE t4oss","DAU01444A11"
"LTE t4oss","DAU01444A21"
"LTE t4oss","DAU01444A31"
"LTE t4oss","DAU01445B11"
"LTE t4oss","DAU01445B21"
"LTE t4oss","DAU01445B31"
"LTE t4oss","DAU01446A11"
"LTE t4oss","DAU01446A21"
"LTE t4oss","DAU01446A31"
"LTE t4oss","DAU01447A11"
"LTE t4oss","DAU01447A21"
"LTE t4oss","DAU01447A31"
"LTE t4oss","DAU01448A11"
"LTE t4oss","DAU01448A21"
"LTE t4oss","DAU01448A31"
"LTE t4oss","DAU01450A11"
"LTE t4oss","DAU01450A21"
"LTE t4oss","DAU01450A31"
"LTE t4oss","DAU01451B11"
"LTE t4oss","DAU01451B21"
"LTE t4oss","DAU01451B31"
"LTE t4oss","DAU01452B11"
"LTE t4oss","DAU01452B21"
"LTE t4oss","DAU01452B31"
"LTE t4oss","DAU01458A11"
"LTE t4oss","DAU01458A21"
"LTE t4oss","DAU01458A31"
"LTE t4oss","DAU01459A11"
"LTE t4oss","DAU01459A21"
"LTE t4oss","DAU01459A31"
"LTE t4oss","DAU01460A11"
"LTE t4oss","DAU01460A21"
"LTE t4oss","DAU01460A31"
"LTE t4oss","DAU01461A11"
"LTE t4oss","DAU01461A21"
"LTE t4oss","DAU01461A31"
"LTE t4oss","DAU01462B11"
"LTE t4oss","DAU01462B21"
"LTE t4oss","DAU01462B31"
"LTE t4oss","DAU01463J11"
"LTE t4oss","DAU01463J21"
"LTE t4oss","DAU01463J31"
"LTE t4oss","DAU01463J41"
"LTE t4oss","DAU01466A11"
"LTE t4oss","DAU01466A21"
"LTE t4oss","DAU01466A31"
"LTE t4oss","DAU01466A41"
"LTE t4oss","DAU01467A11"
"LTE t4oss","DAU01467A21"
"LTE t4oss","DAU01467A31"
"LTE t4oss","DAU01468A11"
"LTE t4oss","DAU01468A21"
"LTE t4oss","DAU01468A31"
"LTE t4oss","DAU01469E11"
"LTE t4oss","DAU01469E21"
"LTE t4oss","DAU01469E31"
"LTE t4oss","DAU01472A11"
"LTE t4oss","DAU01472A21"
"LTE t4oss","DAU01472A31"
"LTE t4oss","DAU01474A11"
"LTE t4oss","DAU01474A21"
"LTE t4oss","DAU01474A31"
"LTE t4oss","DAU01478B11"
"LTE t4oss","DAU01478B21"
"LTE t4oss","DAU01478B31"
"LTE t4oss","DAU01479C11"
"LTE t4oss","DAU01479C21"
"LTE t4oss","DAU01479C31"
"LTE t4oss","DAU01488B11"
"LTE t4oss","DAU01488B21"
"LTE t4oss","DAU01488B31"
"LTE t4oss","DAU01492A11"
"LTE t4oss","DAU01492A21"
"LTE t4oss","DAU01492A31"
"LTE t4oss","DAU01495A11"
"LTE t4oss","DAU01495A21"
"LTE t4oss","DAU01495A31"
"LTE t4oss","DAU01497A11"
"LTE t4oss","DAU01497A21"
"LTE t4oss","DAU01497A31"
"LTE t4oss","DAU01498B11"
"LTE t4oss","DAU01498B21"
"LTE t4oss","DAU01498B31"
"LTE t4oss","DAU01499B11"
"LTE t4oss","DAU01499B21"
"LTE t4oss","DAU01499B31"
"LTE t4oss","DAU01501B11"
"LTE t4oss","DAU01501B21"
"LTE t4oss","DAU01501B31"
"LTE t4oss","DAU01502B11"
"LTE t4oss","DAU01502B21"
"LTE t4oss","DAU01502B31"
"LTE t4oss","DAU01504C11"
"LTE t4oss","DAU01504C21"
"LTE t4oss","DAU01504C31"
"LTE t4oss","DAU01504C41"
"LTE t4oss","DAU01505E11"
"LTE t4oss","DAU01505E21"
"LTE t4oss","DAU01505E31"
"LTE t4oss","DAU01507A11"
"LTE t4oss","DAU01507A21"
"LTE t4oss","DAU01507A31"
"LTE t4oss","DAU01507A41"
"LTE t4oss","DAU01510B11"
"LTE t4oss","DAU01510B21"
"LTE t4oss","DAU01510B31"
"LTE t4oss","DAU01511A11"
"LTE t4oss","DAU01511A21"
"LTE t4oss","DAU01511A31"
"LTE t4oss","DAU01513A11"
"LTE t4oss","DAU01513A21"
"LTE t4oss","DAU01513A31"
"LTE t4oss","DAU01514A11"
"LTE t4oss","DAU01514A21"
"LTE t4oss","DAU01514A31"
"LTE t4oss","DAU01515E11"
"LTE t4oss","DAU01515E21"
"LTE t4oss","DAU01515E31"
"LTE t4oss","DAU01516A11"
"LTE t4oss","DAU01516A21"
"LTE t4oss","DAU01516A31"
"LTE t4oss","DAU01517A11"
"LTE t4oss","DAU01517A21"
"LTE t4oss","DAU01517A31"
"LTE t4oss","DAU01518A11"
"LTE t4oss","DAU01518A21"
"LTE t4oss","DAU01518A31"
"LTE t4oss","DAU01519C11"
"LTE t4oss","DAU01519C21"
"LTE t4oss","DAU01519C31"
"LTE t4oss","DAU01520A11"
"LTE t4oss","DAU01520A21"
"LTE t4oss","DAU01520A31"
"LTE t4oss","DAU01522A11"
"LTE t4oss","DAU01522A21"
"LTE t4oss","DAU01522A31"
"LTE t4oss","DAU01523A11"
"LTE t4oss","DAU01523A21"
"LTE t4oss","DAU01523A31"
"LTE t4oss","DAU01524D11"
"LTE t4oss","DAU01524D21"
"LTE t4oss","DAU01524D31"
"LTE t4oss","DAU01524D41"
"LTE t4oss","DAU01525A11"
"LTE t4oss","DAU01525A21"
"LTE t4oss","DAU01525A31"
"LTE t4oss","DAU01531D11"
"LTE t4oss","DAU01531D21"
"LTE t4oss","DAU01533A11"
"LTE t4oss","DAU01533A21"
"LTE t4oss","DAU01533A31"
"LTE t4oss","DAU01533A41"
"LTE t4oss","DAU01534B11"
"LTE t4oss","DAU01534B21"
"LTE t4oss","DAU01534B31"
"LTE t4oss","DAU01535J11"
"LTE t4oss","DAU01535J21"
"LTE t4oss","DAU01535J31"
"LTE t4oss","DAU01536C11"
"LTE t4oss","DAU01536C21"
"LTE t4oss","DAU01536C31"
"LTE t4oss","DAU01539A11"
"LTE t4oss","DAU01539A21"
"LTE t4oss","DAU01539A31"
"LTE t4oss","DAU01540A11"
"LTE t4oss","DAU01540A21"
"LTE t4oss","DAU01540A31"
"LTE t4oss","DAU01541A11"
"LTE t4oss","DAU01541A21"
"LTE t4oss","DAU01541A31"
"LTE t4oss","DAU01542A11"
"LTE t4oss","DAU01542A21"
"LTE t4oss","DAU01542A31"
"LTE t4oss","DAU01544A11"
"LTE t4oss","DAU01544A21"
"LTE t4oss","DAU01544A31"
"LTE t4oss","DAU01548D11"
"LTE t4oss","DAU01548D21"
"LTE t4oss","DAU01548D31"
"LTE t4oss","DAU01550B11"
"LTE t4oss","DAU01550B21"
"LTE t4oss","DAU01550B31"
"LTE t4oss","DAU01556A11"
"LTE t4oss","DAU01556A21"
"LTE t4oss","DAU01556A31"
"LTE t4oss","DAU01558A11"
"LTE t4oss","DAU01558A21"
"LTE t4oss","DAU01558A31"
"LTE t4oss","DAU01559A11"
"LTE t4oss","DAU01559A21"
"LTE t4oss","DAU01559A31"
"LTE t4oss","DAU01566C11"
"LTE t4oss","DAU01566C21"
"LTE t4oss","DAU01566C31"
"LTE t4oss","DAU01567B11"
"LTE t4oss","DAU01567B21"
"LTE t4oss","DAU01567B31"
"LTE t4oss","DAU01568B11"
"LTE t4oss","DAU01568B21"
"LTE t4oss","DAU01568B31"
"LTE t4oss","DAU01569B11"
"LTE t4oss","DAU01569B21"
"LTE t4oss","DAU01569B31"
"LTE t4oss","DAU01569B41"
"LTE t4oss","DAU01571A11"
"LTE t4oss","DAU01571A21"
"LTE t4oss","DAU01571A31"
"LTE t4oss","DAU01572A11"
"LTE t4oss","DAU01572A21"
"LTE t4oss","DAU01572A31"
"LTE t4oss","DAU01573B11"
"LTE t4oss","DAU01573B21"
"LTE t4oss","DAU01573B31"
"LTE t4oss","DAU01576A11"
"LTE t4oss","DAU01576A21"
"LTE t4oss","DAU01576A31"
"LTE t4oss","DAU01578D11"
"LTE t4oss","DAU01578D21"
"LTE t4oss","DAU01578D31"
"LTE t4oss","DAU01578D41"
"LTE t4oss","DAU01579C11"
"LTE t4oss","DAU01579C21"
"LTE t4oss","DAU01579C31"
"LTE t4oss","DAU01581B11"
"LTE t4oss","DAU01581B21"
"LTE t4oss","DAU01581B31"
"LTE t4oss","DAU01582B11"
"LTE t4oss","DAU01582B21"
"LTE t4oss","DAU01582B31"
"LTE t4oss","DAU01584A11"
"LTE t4oss","DAU01584A21"
"LTE t4oss","DAU01584A31"
"LTE t4oss","DAU01585A11"
"LTE t4oss","DAU01585A21"
